name,year,rate,code
Alabama,2016,1.09,1
Alabama,2015,1.11,1
Alabama,2014,1.13,1
Alabama,2013,1.14,1
Alabama,2012,1.16,1
Alabama,2011,1.16,1
Alabama,2010,1.17,1
Alabama,2009,1.19,1
Alabama,2008,1.22,1
Alabama,2007,1.23,1
Alabama,2006,1.21,1
Alabama,2005,1.18,1
Alabama,2004,1.19,1
Alabama,2003,1.19,1
Alabama,2002,1.18,1
Alabama,2001,1.16,1
Alabama,2000,1.19,1
Alabama,1999,1.18,1
Alabama,1998,1.16,1
Alabama,1997,1.14,1
Alabama,1996,1.17,1
Alabama,1995,1.14,1
Alabama,1994,1.16,1
Alabama,1993,1.14,1
Alabama,1992,1.02,1
Alabama,1991,1,1
Alabama,1990,1.12,1
Alabama,1989,1.12,1
Alabama,1988,1.12,1
Alabama,1987,1.11,1
Alabama,1986,1.1,1
Alabama,1985,1.07,1
Alabama,1984,1.03,1
Alabama,1983,1.01,1
Alabama,1982,1,1
Alabama,1981,1,1
Alabama,1980,0.95,1
Alabama,1979,0.96,1
Alabama,1978,0.95,1
Alabama,1977,0.97,1
Alaska,2016,1.15,2
Alaska,2015,1.11,2
Alaska,2014,1.11,2
Alaska,2013,1.07,2
Alaska,2012,1.17,2
Alaska,2011,1.15,2
Alaska,2010,1.23,2
Alaska,2009,1.32,2
Alaska,2008,1.2,2
Alaska,2007,1.13,2
Alaska,2006,1.25,2
Alaska,2005,1.23,2
Alaska,2004,1.31,2
Alaska,2003,1.27,2
Alaska,2002,1.35,2
Alaska,2001,1.32,2
Alaska,2000,1.37,2
Alaska,1999,1.4,2
Alaska,1998,1.39,2
Alaska,1997,1.31,2
Alaska,1996,1.31,2
Alaska,1995,1.45,2
Alaska,1994,1.53,2
Alaska,1993,1.31,2
Alaska,1992,1.53,2
Alaska,1991,1.54,2
Alaska,1990,1.62,2
Alaska,1989,1.52,2
Alaska,1988,1.54,2
Alaska,1987,1.6,2
Alaska,1986,1.65,2
Alaska,1985,1.63,2
Alaska,1984,1.67,2
Alaska,1983,1.71,2
Alaska,1982,1.69,2
Alaska,1981,1.68,2
Alaska,1980,1.54,2
Alaska,1979,1.48,2
Alaska,1978,1.39,2
Alaska,1977,1.19,2
Arizona,2016,1.14,3
Arizona,2015,1.16,3
Arizona,2014,1.18,3
Arizona,2013,1.13,3
Arizona,2012,1.14,3
Arizona,2011,1.15,3
Arizona,2010,1.23,3
Arizona,2009,1.22,3
Arizona,2008,1.3,3
Arizona,2007,1.39,3
Arizona,2006,1.34,3
Arizona,2005,1.35,3
Arizona,2004,1.4,3
Arizona,2003,1.41,3
Arizona,2002,1.46,3
Arizona,2001,1.47,3
Arizona,2000,1.48,3
Arizona,1999,1.47,3
Arizona,1998,1.44,3
Arizona,1997,1.45,3
Arizona,1996,1.52,3
Arizona,1995,1.47,3
Arizona,1994,1.52,3
Arizona,1993,1.58,3
Arizona,1992,1.58,3
Arizona,1991,1.58,3
Arizona,1990,1.59,3
Arizona,1989,1.63,3
Arizona,1988,1.6,3
Arizona,1987,1.64,3
Arizona,1986,1.74,3
Arizona,1985,1.66,3
Arizona,1984,1.55,3
Arizona,1983,1.6,3
Arizona,1982,1.71,3
Arizona,1981,1.76,3
Arizona,1980,1.68,3
Arizona,1979,1.71,3
Arizona,1978,1.66,3
Arizona,1977,1.6,3
Arkansas,2016,0.93,4
Arkansas,2015,0.97,4
Arkansas,2014,0.96,4
Arkansas,2013,1,4
Arkansas,2012,1,4
Arkansas,2011,0.98,4
Arkansas,2010,1.02,4
Arkansas,2009,1.03,4
Arkansas,2008,1.05,4
Arkansas,2007,1.02,4
Arkansas,2006,1.05,4
Arkansas,2005,1.03,4
Arkansas,2004,1.04,4
Arkansas,2003,1.06,4
Arkansas,2002,1.09,4
Arkansas,2001,1.08,4
Arkansas,2000,1.09,4
Arkansas,1999,1.09,4
Arkansas,1998,1.1,4
Arkansas,1997,1.07,4
Arkansas,1996,1.07,4
Arkansas,1995,1.06,4
Arkansas,1994,1.06,4
Arkansas,1993,1.1,4
Arkansas,1992,1.13,4
Arkansas,1991,1.12,4
Arkansas,1990,1.12,4
Arkansas,1989,1.1,4
Arkansas,1988,1.09,4
Arkansas,1987,1.09,4
Arkansas,1986,1.08,4
Arkansas,1985,1.04,4
Arkansas,1984,1.03,4
Arkansas,1983,1.03,4
Arkansas,1982,1.03,4
Arkansas,1981,1.06,4
Arkansas,1980,1,4
Arkansas,1979,0.9,4
Arkansas,1978,0.95,4
Arkansas,1977,0.89,4
California,2016,0.96,5
California,2015,0.99,5
California,2014,1,5
California,2013,0.98,5
California,2012,0.98,5
California,2011,0.95,5
California,2010,0.97,5
California,2009,1.01,5
California,2008,1.05,5
California,2007,1.06,5
California,2006,1.02,5
California,2005,1.03,5
California,2004,1.07,5
California,2003,1.07,5
California,2002,1.08,5
California,2001,1.09,5
California,2000,1.12,5
California,1999,1.12,5
California,1998,1.11,5
California,1997,1.14,5
California,1996,1.13,5
California,1995,1.15,5
California,1994,1.09,5
California,1993,1.17,5
California,1992,1.28,5
California,1991,1.22,5
California,1990,1.32,5
California,1989,1.29,5
California,1988,1.32,5
California,1987,1.35,5
California,1986,1.35,5
California,1985,1.32,5
California,1984,1.37,5
California,1983,1.36,5
California,1982,1.37,5
California,1981,1.43,5
California,1980,1.41,5
California,1979,1.39,5
California,1978,1.33,5
California,1977,1.29,5
Colorado,2016,1.14,6
Colorado,2015,1.12,6
Colorado,2014,1.14,6
Colorado,2013,1.2,6
Colorado,2012,1.15,6
Colorado,2011,1.2,6
Colorado,2010,1.22,6
Colorado,2009,1.23,6
Colorado,2008,1.28,6
Colorado,2007,1.3,6
Colorado,2006,1.29,6
Colorado,2005,1.31,6
Colorado,2004,1.3,6
Colorado,2003,1.33,6
Colorado,2002,1.35,6
Colorado,2001,1.42,6
Colorado,2000,1.35,6
Colorado,1999,1.33,6
Colorado,1998,1.33,6
Colorado,1997,1.3,6
Colorado,1996,1.36,6
Colorado,1995,1.34,6
Colorado,1994,1.36,6
Colorado,1993,1.4,6
Colorado,1992,1.34,6
Colorado,1991,1.39,6
Colorado,1990,1.35,6
Colorado,1989,1.42,6
Colorado,1988,1.44,6
Colorado,1987,1.45,6
Colorado,1986,1.49,6
Colorado,1985,1.48,6
Colorado,1984,1.51,6
Colorado,1983,1.57,6
Colorado,1982,1.63,6
Colorado,1981,1.62,6
Colorado,1980,1.56,6
Colorado,1979,1.63,6
Colorado,1978,1.6,6
Colorado,1977,1.4,6
Connecticut,2016,0.85,7
Connecticut,2015,0.85,7
Connecticut,2014,0.84,7
Connecticut,2013,0.85,7
Connecticut,2012,0.86,7
Connecticut,2011,0.86,7
Connecticut,2010,0.88,7
Connecticut,2009,0.88,7
Connecticut,2008,0.93,7
Connecticut,2007,0.92,7
Connecticut,2006,0.93,7
Connecticut,2005,0.9,7
Connecticut,2004,0.93,7
Connecticut,2003,0.93,7
Connecticut,2002,0.95,7
Connecticut,2001,0.95,7
Connecticut,2000,0.94,7
Connecticut,1999,0.94,7
Connecticut,1998,0.96,7
Connecticut,1997,0.95,7
Connecticut,1996,0.91,7
Connecticut,1995,0.96,7
Connecticut,1994,0.99,7
Connecticut,1993,0.96,7
Connecticut,1992,1.01,7
Connecticut,1991,1.03,7
Connecticut,1990,1.09,7
Connecticut,1989,1.07,7
Connecticut,1988,1.12,7
Connecticut,1987,1.14,7
Connecticut,1986,1.11,7
Connecticut,1985,1.12,7
Connecticut,1984,1.1,7
Connecticut,1983,1.1,7
Connecticut,1982,1.04,7
Connecticut,1981,1.05,7
Connecticut,1980,1.06,7
Connecticut,1979,1.14,7
Connecticut,1978,1.09,7
Connecticut,1977,1.06,7
Delaware,2016,1.2,8
Delaware,2015,1.18,8
Delaware,2014,1.21,8
Delaware,2013,1.25,8
Delaware,2012,1.32,8
Delaware,2011,1.34,8
Delaware,2010,1.36,8
Delaware,2009,1.32,8
Delaware,2008,1.35,8
Delaware,2007,1.38,8
Delaware,2006,1.41,8
Delaware,2005,1.42,8
Delaware,2004,1.42,8
Delaware,2003,1.38,8
Delaware,2002,1.39,8
Delaware,2001,1.39,8
Delaware,2000,1.36,8
Delaware,1999,1.4,8
Delaware,1998,1.41,8
Delaware,1997,1.37,8
Delaware,1996,1.39,8
Delaware,1995,1.3,8
Delaware,1994,1.43,8
Delaware,1993,1.46,8
