name,year,rate,code
Alabama,2016,0.77,1
Alabama,2015,0.77,1
Alabama,2014,0.86,1
Alabama,2013,0.91,1
Alabama,2012,0.79,1
Alabama,2011,0.99,1
Alabama,2010,0.96,1
Alabama,2009,0.78,1
Alabama,2008,1.05,1
Alabama,2007,0.49,1
Alabama,2006,0.53,1
Alabama,2005,0.99,1
Alabama,2004,0.8,1
Alabama,2003,1.05,1
Alabama,2002,1.07,1
Alabama,2001,0.61,1
Alabama,2000,0.77,1
Alabama,1999,0.6,1
Alabama,1998,0.59,1
Alabama,1997,0.78,1
Alabama,1996,0.56,1
Alabama,1995,0.59,1
Alabama,1994,1,1
Alabama,1993,0.59,1
Alabama,1992,0.8,1
Alabama,1991,0.95,1
Alabama,1990,0.53,1
Alabama,1989,0.84,1
Alabama,1988,1,1
Alabama,1987,0.86,1
Alabama,1986,0.52,1
Alabama,1985,0.83,1
Alabama,1984,0.54,1
Alabama,1983,0.5,1
Alabama,1982,0.88,1
Alabama,1981,0.5,1
Alabama,1980,0.92,1
Alabama,1979,0.49,1
Alabama,1978,0.49,1
Alabama,1977,0.52,1
Alaska,2016,0.76,2
Alaska,2015,0.88,2
Alaska,2014,0.89,2
Alaska,2013,0.76,2
Alaska,2012,0.49,2
Alaska,2011,0.89,2
Alaska,2010,0.69,2
Alaska,2009,0.48,2
Alaska,2008,0.93,2
Alaska,2007,0.86,2
Alaska,2006,0.71,2
Alaska,2005,0.61,2
Alaska,2004,0.84,2
Alaska,2003,0.84,2
Alaska,2002,0.5,2
Alaska,2001,0.53,2
Alaska,2000,0.56,2
Alaska,1999,0.73,2
Alaska,1998,0.81,2
Alaska,1997,0.78,2
Alaska,1996,0.79,2
Alaska,1995,0.7,2
Alaska,1994,0.72,2
Alaska,1993,0.54,2
Alaska,1992,0.82,2
Alaska,1991,0.75,2
Alaska,1990,0.42,2
Alaska,1989,1.03,2
Alaska,1988,0.5,2
Alaska,1987,0.54,2
Alaska,1986,1.01,2
Alaska,1985,1.02,2
Alaska,1984,0.45,2
Alaska,1983,0.55,2
Alaska,1982,0.73,2
Alaska,1981,0.72,2
Alaska,1980,1.01,2
Alaska,1979,0.59,2
Alaska,1978,1.01,2
Alaska,1977,0.65,2
Arizona,2016,0.7,4
Arizona,2015,1.01,4
Arizona,2014,0.46,4
Arizona,2013,0.63,4
Arizona,2012,0.65,4
Arizona,2011,0.71,4
Arizona,2010,0.72,4
Arizona,2009,1,4
Arizona,2008,0.66,4
Arizona,2007,1,4
Arizona,2006,1.01,4
Arizona,2005,0.62,4
Arizona,2004,0.8,4
Arizona,2003,1,4
Arizona,2002,0.96,4
Arizona,2001,0.69,4
Arizona,2000,0.78,4
Arizona,1999,0.46,4
Arizona,1998,0.93,4
Arizona,1997,0.44,4
Arizona,1996,0.58,4
Arizona,1995,0.73,4
Arizona,1994,0.69,4
Arizona,1993,0.74,4
Arizona,1992,0.77,4
Arizona,1991,0.91,4
Arizona,1990,0.57,4
Arizona,1989,0.88,4
Arizona,1988,0.56,4
Arizona,1987,0.56,4
Arizona,1986,0.46,4
Arizona,1985,0.83,4
Arizona,1984,0.87,4
Arizona,1983,0.79,4
Arizona,1982,0.81,4
Arizona,1981,0.61,4
Arizona,1980,0.34,4
Arizona,1979,0.37,4
Arizona,1978,0.31,4
Arizona,1977,0.32,4
Arkansas,2016,0.33,5
Arkansas,2015,0.31,5
Arkansas,2014,0.35,5
Arkansas,2013,0.46,5
Arkansas,2012,0.58,5
